rank,city,state,population,2000-2013 growth
222,Athens-Clarke,GA,119980,19.0%
223,Vallejo,CA,118837,1.2%
224,Allentown,PA,118577,11.2%
225,Norman,OK,118197,22.0%
226,Beaumont,TX,117796,3.7%
227,Independence,MO,117240,3.2%
228,Murfreesboro,TN,117044,65.1%
229,Ann Arbor,MI,117025,2.0%
230,Springfield,IL,117006,4.2%
231,Berkeley,CA,116768,13.3%
232,Peoria,IL,116513,3.0%
233,Provo,UT,116288,10.0%
234,El Monte,CA,115708,-0.4%
235,Columbia,MO,115276,34.0%
236,Lansing,MI,113972,-4.4%
237,Fargo,ND,113658,24.9%
238,Downey,CA,113242,5.3%
239,Costa Mesa,CA,112174,2.4%
240,Wilmington,NC,112067,24.8%
241,Arvada,CO,111707,9.2%
242,Inglewood,CA,111542,-1.0%
243,Miami Gardens,FL,111378,10.5%
244,Carlsbad,CA,110972,39.7%
245,Westminster,CO,110945,9.4%
246,Rochester,MN,110742,23.9%
247,Odessa,TX,110720,22.3%
248,Manchester,NH,110378,2.9%
249,Elgin,IL,110145,16.0%
250,West Jordan,UT,110077,38.4%
251,Round Rock,TX,109821,81.0%
252,Clearwater,FL,109703,0.1%
253,Waterbury,CT,109676,2.2%
254,Gresham,OR,109397,20.7%
255,Fairfield,CA,109320,12.8%
256,Billings,MT,109059,18.6%
257,Lowell,MA,108861,3.4%
258,San Buenaventura,CA,108817,7.4%
259,Pueblo,CO,108249,5.9%
260,High Point,NC,107741,24.3%
261,West Covina,CA,107740,2.3%
262,Richmond,CA,107571,7.9%
263,Murrieta,CA,107479,107.4%
264,Cambridge,MA,107289,5.5%
265,Antioch,CA,107100,16.9%
266,Temecula,CA,106780,55.4%
267,Norwalk,CA,106589,1.9%
268,Centennial,CO,106114,3.5%
269,Everett,WA,105370,9.4%
270,Palm Bay,FL,104898,31.7%
271,Wichita Falls,TX,104898,0.7%
272,Green Bay,WI,104779,1.9%
273,Daly City,CA,104739,1.0%
